character,total_payment,spend_category
Non-Personnel Services,4624320574,Operating Goods & Services
Not Reported Liability Account,2308849596,Balance Sheet & Revenue
Debt Service,1993744355,Debt Service
City Grant Program,1458666207,Grants & Aid
Fiduciary-Benefit Payments,1347178755,Employee Benefits & Retirement
Capital Outlay,1273317230,Capital Projects
Current Liabilities,1130358082,Balance Sheet & Revenue
Other Revenues,682345239.7,Balance Sheet & Revenue
Materials & Supplies,572014832.3,Operating Goods & Services
Aid Payments,379532839.7,Grants & Aid
Other Support/Care of Persons,300423828.5,Operating Goods & Services
Business Taxes,160125381.9,Balance Sheet & Revenue
Current Assets,154851076.9,Balance Sheet & Revenue
Contributions Ret/HSS/HlthCare,150480690.6,Employee Benefits & Retirement
Non-Current Assets,90349595.8,Balance Sheet & Revenue
Intergovernmental: State,59214162.12,Balance Sheet & Revenue
Property Taxes,46927865.49,Balance Sheet & Revenue
Charges for Services,42425223.09,Balance Sheet & Revenue
Aid Assistance,19773368.65,Grants & Aid
Rents & Concessions,14180536.82,Balance Sheet & Revenue
Other Local Taxes,10176045.08,Balance Sheet & Revenue
Mandatory Fringe Benefits,5869456.52,Employee Benefits & Retirement
Interest & Investment Income,2057652.14,Debt Service
"Fines, Forfeiture, & Penalties",1082570.92,Balance Sheet & Revenue
Capitalized Expenditures,776435.17,Capital Projects
Intergovernmental: Federal,694935.61,Balance Sheet & Revenue
Contribution Refund/Distrib,466539.91,Employee Benefits & Retirement
"Licenses, Permits,& Franchises",107603.57,Balance Sheet & Revenue
Salaries,93310.34,Employee Benefits & Retirement
Programmatic Projects,81643.39,Operating Goods & Services
Overhead and Allocations,45864.68,Operating Goods & Services
Services Of Other Depts,26035.13,Operating Goods & Services
Facilities Maintenance,18183,Operating Goods & Services
